6.0818,-176.34
1.5238,-177.62
0.6861,-179.07
0.3779,-179.60
0.2381,-180.47
0.1672,-181.25
0.1255,-182.01
0.0960,-182.70
0.0761,-183.46
0.0616,-184.19
0.0512,-184.90
0.0430,-185.66
0.0365,-186.40
0.0315,-187.11
0.0273,-187.86
0.0241,-188.56
0.0213,-189.32
0.0189,-190.05
0.0170,-190.77
0.0153,-191.48
0.0139,-192.24
0.0126,-192.97
0.0115,-193.69
0.0105,-194.40
0.0096,-195.17
0.0089,-195.80
0.0082,-196.55
0.0076,-197.21
0.0071,-197.83
0.0066,-198.51
0.0062,-199.20
0.0058,-199.90
0.0054,-200.54
0.0051,-201.23
0.0048,-201.86
0.0045,-202.53
0.0043,-203.20
0.0040,-203.85
0.0038,-204.50
0.0036,-205.13
0.0034,-205.86
0.0032,-206.52
0.0031,-207.11
0.0029,-207.77
0.0028,-208.42
0.0027,-209.12
0.0026,-209.71
0.0024,-210.33
0.0023,-210.97
0.0022,-211.60
0.0021,-212.29
0.0020,-212.96
0.0020,-213.56
0.0019,-214.23
0.0018,-214.83
0.0017,-215.54
0.0017,-216.17
0.0016,-216.80
0.0015,-217.51
0.0015,-218.12
0.0014,-218.78
0.0014,-219.31
0.0013,-219.98
0.0013,-220.61
0.0012,-221.21
0.0012,-221.82
0.0012,-222.44
0.0011,-223.13
0.0011,-223.69
0.0010,-224.33
0.0010,-224.94
0.0010,-225.60
0.0009,-226.13
0.0009,-226.78
0.0009,-227.38
0.0008,-228.00
0.0008,-228.68
0.0008,-229.25
0.0008,-229.97
0.0007,-230.51
0.0007,-230.94
0.0007,-231.60
0.0007,-232.46
0.0007,-232.90
0.0006,-233.76
0.0006,-234.40
0.0006,-234.83
0.0006,-235.46
0.0005,-235.88
0.0005,-236.29
0.0005,-236.62
0.0005,-236.85
0.0005,-236.88
0.0004,-236.49
0.0004,-235.91
0.0004,-234.85
0.0004,-233.42
0.0004,-232.03
0.0004,-229.88
0.0004,-228.69
