6.0515,-176.44
1.5372,-177.61
0.6836,-178.82
0.3805,-179.71
0.2455,-180.59
0.1730,-181.41
0.1267,-182.09
0.0967,-182.77
0.0766,-183.46
0.0623,-184.17
0.0516,-184.86
0.0435,-185.59
0.0369,-186.35
0.0321,-187.02
0.0279,-187.77
0.0244,-188.51
0.0213,-189.31
0.0190,-190.03
0.0171,-190.74
0.0155,-191.40
0.0140,-192.10
0.0127,-192.84
0.0116,-193.58
0.0106,-194.25
0.0098,-194.94
0.0090,-195.65
0.0083,-196.34
0.0077,-197.03
0.0072,-197.71
0.0067,-198.38
0.0062,-199.05
0.0058,-199.73
0.0055,-200.41
0.0051,-201.06
0.0048,-201.72
0.0046,-202.37
0.0043,-203.06
0.0041,-203.71
0.0038,-204.38
0.0037,-205.00
0.0035,-205.66
0.0033,-206.42
0.0031,-206.89
0.0030,-207.58
0.0028,-208.40
0.0027,-208.99
0.0026,-209.69
0.0025,-210.31
0.0024,-210.87
0.0022,-211.62
0.0022,-212.19
0.0021,-212.93
0.0020,-213.48
0.0019,-214.15
0.0018,-214.69
0.0018,-215.42
0.0017,-216.21
0.0016,-216.81
0.0016,-217.46
0.0015,-217.97
0.0014,-218.63
0.0014,-219.21
0.0013,-219.87
0.0013,-220.64
0.0012,-221.24
0.0012,-221.81
0.0012,-222.37
0.0011,-223.13
0.0011,-223.66
0.0010,-224.36
0.0010,-225.01
0.0010,-225.59
0.0010,-225.97
0.0009,-226.72
0.0009,-227.39
0.0008,-228.09
0.0008,-228.45
0.0008,-228.98
0.0008,-230.05
0.0007,-230.55
0.0007,-231.18
0.0007,-231.95
0.0007,-232.49
0.0006,-233.16
0.0006,-233.78
0.0006,-234.37
0.0006,-234.64
0.0006,-235.04
0.0005,-235.73
0.0005,-236.34
0.0005,-236.58
0.0005,-236.70
0.0005,-236.72
0.0004,-236.50
0.0004,-236.15
0.0004,-235.94
0.0004,-235.33
0.0004,-234.64
0.0004,-233.36
0.0003,-228.21
